my_crossing_reference,assessment_comment
5403082,Backwatered at outlet but some flow upstream and downstream.  Some gravels upstream.  Private property on both sides.  RB confirmed upstream.  Downstream railway crossing yet to be assessed. 
5400193,Wetland downstream and upstream. Stream channel upstream is more defined. Pipe is fully backwatered.  Medium habitat value given due to presence of water at this location when other areas of this same stream were dry.
9905144,Obvious signs of beaver activity. Big dam near inlet and small dam just downstream of outlet as well. Small channel downstream with no water with wetland upstream.
13900028,Nice stream with good flow. Railway crossings approximately 30 m upstream are much more of a barrier then the crossing on Penny Street.
13900308,Abundant gravels present downstream and upstream. Small fish seen in culvert and downstream. There's flow upstream and downstream but culvert is backwatered.  Unassessed railway crossing ~900m upstream.
13900252,"Wide channel with four culverts. Culvert diameter totaled for all 4 culverts. Two are in good condition, other two are bent and look older. Railway crossing just upstream which consists of three culverts and appears likely passable for most species at most flows.  Abundant gravels present downstream of road.  This road is the only to access the town of Penny. "
13900050,"No well defined stream channel visible. Flooded wetland area downstream, surveyed during heavy rain. Backwatered pipe.  "
13900283,"Two pipes each with 1m diameter on the south side of the railway. It is not clear where the stream crosses under the railway upstream, this crossing still needs to be assessed.  Agricultural field located upstream with what appears to be very minimal riparian buffer. Stream has been channelized beside the railway.  A 1m overflow pipe has been installed above the level of the other 2 pipes.       "
13903627,"Big wetland area upstream. Smaller, grassy, wetland downstream.  RB confirmed upstream in the past. Culvert is very old and in bad shape. There is a bigger overflow pipe present."
13903618,Wetland lake area upstream with small channels threaded through it. Beaver grate on culvert inlet and pipe is in poor shape as it is rusted and bent out of shape. Outlet backwater for 40%. Small stream with some flow.
13900193,Culvert is a little backwatered at outlet. Small fish seen in pipe. Trib to major spawning stream. Crossing appears passable. Slight inlet drop due to woody debris. 
13903148,Wetland habitat upstream and downstream. Crossing is near transmission line so trees have been cut down. Backwatered culvert and pipe appears undersized. Chinook confirmed in the past downstream of crossing. 
22200015,"Culvert spans McLennan Rd and highway. Small stream with good flow and primarily fine substrate. Extensive beaver activity both upstream and downstream, with dams of up to 1 1/2 m high in both locations.  Very long structure.  Culvert gradient estimated as could not see through the pipe.       "
5400179,There are three 1.5m pipes located under Railway Avenue continuing all the way under the railway line.  Pipes are embedded at or more than 50% of their depth.  Stream was dry at the time of assessment and scoured channels indicate a fairly small system.
15600147,No water in pipe. Periodic pools of standing water upstream and downstream but no flowing water. NEWWS has completed restoration work for this site with sign posted at this location. Culvert appears fully embedded in photos so have changed inputs to reflect this.
15600154,"Dewatered, no well-defined stream channel. Agricultural fields on both sides.  Embeddedness estimated from photos."
5400028,"Wide channel, nicely installed moti major structure that appears passable as fully embedded.  3m falls noted in FISS as 1.3 km upstream.  Railway crossing just downstream noted as passable in bcfishpass."
13905385,"Fully embedded pipes. Three pipes total, with two at 1.8 m and one at 1.2m in diameter. Nice habitat upstream with abundant gravels, some deeper pools and deeply undercut banks."
13900265,"Embedded culvert, high flowing mountain stream. Very clear and wide channel. Gradient increases upstream.  Fully embedded pipe so likley passable for all species and life stages at perhaps all but very high flows."
13900025,Chinook and mountain whitefish confirmed just upstream in 2019. Continuously embedded culvert. Grassy habitat upstream with little riparian on streambanks near crossing. Fines were the predominant stream substrate.
22200082,Stream is mostly dewatered. Large beaver dam (1.7m high) located approximately 30m upstream. Fully embedded pipe with beaver grate on the inlet.  Unassessed crossing on private driveway upstream from here. Adjacent landowner has concerns about the recent lack of water and says it is un-characteristic for the section of stream. They have concerns that recent pipeline construction just upstream of this crossing has potentially influenced beaver populations and water flow.
13900015,Continuously embedded culvert. Wide channel with moderate flow. High value habitat
13900073,"RB and CCG confirmed downstream in past. Private agricultural land upstream and downstream. Embedded culvert. Small wooden dam just downstream of crossing, approx 0.8m high. Small trickle of water beside structure that would allow fish to swim upstream.  "
13900012,"Continuously embedded culvert. Agricultural fields upstream and downstream. Very little riparian vegetation. Small fish seen near inlet. Channel looks like it gets smaller upstream, flows through cow field. Not a fish passage issue, but riparian restoration could be pursued.  RB confirmed in the past near crossing. "
15600048,Two pipes (1.2m and 0.6m). 100% backwater. Guessing the pipes are embedded but cannot see due to poor water quality. This stream is extremely impacted by poor cattle ranching practices. There is no riparian fencing and cattle have completely trampled all the banks.  There is no riparian vegetation and water quality is extremely poor. This stream could likely be very productive for chinook and other species if eventually restored.           
5400201,Good flow. Abundant gravel downstream and upstream. Pipes are both fully embedded with partial backwatering. Chinook point on the stream immediately adjacent to the site. Upstream left bank riparian has been cleared for what appears to be a parking space.  Upstream crossing on Stella Road could be addressed by MoT.
24715754,"Three pipes total, two at 1.2m diameter which were completely submerged underwater and one at 2m diameter which was 100% backwatered.  Assuming embedded due to the depth of the backwatering. Bridge located just upstream on River Road.  Unassessed railway crossing located downstream which, based off satellite imagery, leads to a wetland area, but no modelled crossing present.  There is a second unassessed crossing (24715896) downstream which should be assessed. Multiple non-salmonid FISS observations downstream. Chinook and sockeye salmon have been observed just upstream of the confluence of this creek with the Fraser River, roughly 1km downstream of the crossing.    "
5400159,Dry channel.  Bridge.
5400180,Pipe arch. Passable.  Modelled crossings 5406290 and 5400675 downstream adjacent to Burn's Lake shoreline have not been assessed.
15604870,"Bridge with sign from Fraser lake sawmills. Extensive cattle trampling underneath the bridge, but some decent amount of water at this location."
15604704,Bridge. Good flow
15600065,Restoration work conducted at this crossing. No flowing water at time of survey. Livestock field upstream. Goats seen trampling through stream channel.
24715750,Wide stream with high flows and good habitat. Bridge on railway just upstream. Major moti structure was in the wrong spot on the map. 
9904385,Deactivated road. Ford passable by 4x4 vehicles
15600486,NA
15604176,"Deactivated road. Old culverts seen in pictures, now a ford."
5401513,"Small trail, wide channel."
